blockNumber,timeStamp,hash,nonce,blockHash,from,to,contractAddress,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12580789,1622980382,0x2af3520b9ce28943661a1fb59efcdb84358ca45875f278f9b1ba2540f11cc0f7,44,0xfcdb16d772380014b69fca31d53067af7cc3210085861d0025eb0930a7bd9f90,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xec889c2558a768050d9429f8cb9c1305c4652e3e,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,375698909599922257185532000,Busa Inu,BINU,18,102,179367,11000000000,123910,9852158,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480885
12580791,1622980399,0xcbeca375902c5a4fcde8f927ecd6334bb820ccadc0f69ff6f75af6fdacc7ed4c,217,0x843c80950b5e94dd2f1ac7ed8e2a4bed12fe22fc6175813cf3005f06a1d0e1e5,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x5e04f0af70895cef16290ad2a31bf51110774f10,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,625533905270623334792405302,Busa Inu,BINU,18,33,166669,11000000000,123910,7482177,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480883
12580838,1622981034,0xcbdd61965c52064e1dd54a3e7e14c970d531c025156050c4990d5dbc1affe01f,24,0xbccd2047577f0f44e60159d8f213d89e62b7ca42c7ab3d269778b9096c38c5ce,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xab02030a460d45f7b7d76602c5cd7c95c3cf337f,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,312471330149613176260635980,Busa Inu,BINU,18,124,164407,11000000673,123898,10729967,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480836
12580855,1622981336,0x8474574d13bcec0ca5e97a99fc3e5a9e60b08fb71ffc56a499ae9f880d6d4f9a,27,0x2956e8093179a6018de4ac0d77236d14eebd3eef724c111ba1f155ffd3d69b5d,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x8ef17688672782a8d42d541042ef51e53e551abc,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,312274595362854922812474826,Busa Inu,BINU,18,175,179353,12100001604,123898,9105869,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480819
12580882,1622981654,0xa677d338f299a34cd81930f8d06a7d217aaaf6f29d0da90e3e3e0e79ef808639,43,0xe77629634bfccaa6980113e580a202cecd2f98d489f4136cccc23c1e5b0ee984,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x44dc64c8a277f37bafa1d6f3bfa465423e4d4172,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,935646118290894908765480050,Busa Inu,BINU,18,99,179367,11000000000,123910,6904060,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480792
12580890,1622981773,0xcd01184570c149eab7fdb09b52d7482be0f42b42d33eede058c5e4bbb50d071c,10,0x4b9db1a1da5b840b7fd893e88bb35ad15bf6bc5a8b952938a08c04753716863c,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xdbc8f2996a554a79946b8a7ba1bf798bfcfb042c,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,3106119024033308830484310755,Busa Inu,BINU,18,126,179367,11000001459,123910,14496575,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480784
12580902,1622982003,0x2d49f8dabba74556febc82f86160da9adf7a108b82f9a6707dc31f2719adfafd,10,0x1fdd92f6cec950d55ba8d451389c16950999ae1ea984c64bcc099ff2af4cad43,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xf2dea7e9f240488fab9dfaa3b3c6d4563e0acd4a,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,1236997485750681015297949738,Busa Inu,BINU,18,176,179367,13000000000,123910,10935483,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480772
12580907,1622982068,0x0dac8ab5580fdb5f91ec884653d1584f6e156363c025f428836aa2d42362203e,0,0x21e5737a291071454dc984b5a1f35eab7e7e61057920114f9d9f2ed43e599a6b,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x8e6c1882154642ff31fee1c584fa692f3e5ea423,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,308764916439141898056153879,Busa Inu,BINU,18,170,179353,10749999523,123898,12259480,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480767
12580910,1622982112,0x8244505c5f24e5ce0d2f86e0a9279218f303c69759e777422d0cf3c8325feb9e,67,0x4043ba4fafccfd4f2b77b6df03429173be61cdd042844e5a1056dd26806582a2,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x59e40a7c4123aa1f834f60fd8604776422650a0f,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,500000000000000000000000000,Busa Inu,BINU,18,126,187033,12000000000,131277,7482223,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12480764
12580912,1622982156,0x31ade7f58d9be2a22c17df28e30644c5bd5178ff40f69a9f7582c084a33a4dca,396,0xe34b3e3fae918e6904483883a8646c5942ebf4acecd43b067b90b8e96665ce66,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xab2d40f9d33ddf2025060bbfc9e3aeee56e955ee,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,308258871310178304784464554,Busa Inu,BINU,18,85,166654,12000000000,123898,6175890,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480762
12580925,1622982348,0x6dedb9416a838b710d613cf31a131d4a6b30a5b6e11b5df4c4e7766088611575,44,0x67382a652b92b8a13ee63952f39391ec69aef2e12e8c61caa54f15d774b6338b,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x44dc64c8a277f37bafa1d6f3bfa465423e4d4172,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,5515914358630632604720084284,Busa Inu,BINU,18,161,158521,13200000000,106810,11147593,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480749
12580926,1622982354,0xe4f42ecea1f9c2aa1117fbb2518b6580e48f6e2899735989f0ebf88aaacc6cc0,487,0xf1f0b1fad978b7bcb7b673bf7f9f0b1cf887e253c8a640d6f24412f8ba221c2f,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xabfa6608eeb65ee1de5b5430e63eea553fa68d70,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,3037781818636256253038738032,Busa Inu,BINU,18,125,179367,15000000000,123910,9442516,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480748
12580973,1622982969,0x7a56e05a8c7eb31114598733bafd029b2bc8460e52ea6a9851fe6ffa8c7b6ab5,5,0x81c137f03c1988aa3aefa2c889eb9604ae0d828ff8642a8537717482afb5566d,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x3ebf59486225df9f5318d507d5000e3eff696144,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,1058774908345777477414452108,Busa Inu,BINU,18,31,179353,13200000000,123898,2524152,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480701
