blockNumber,timeStamp,hash,nonce,blockHash,from,to,contractAddress,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
14025250,1642451953,0xe9d21d5dafec657abff9c359f5ce1398a6cbfa47890b61cf708ff58909b3e5e2,83,0xc96a90f9f6d1f8deffb790171a7f3a421f123665a16e215daeb78a94abdda3ed,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xcefb1791df4008c44349aa6040453b2b5449d23e,0xaacf3c7845551f21484e7ed4b2652ad046031e72,5714719244666737058538488,Slope Finance,SLOPE,18,78,289477,135735319025,223082,5926509,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",11036446
14025285,1642452361,0xe8c09aad8e0b7d95544c8206d2f6cb1713357cb8f30f5f2a6ea1649166ab460a,33,0xb55c946eaa8b0ca3de1bdceb447448171be3126e8b2a7159e1b552531e54fb9d,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xaacf3c7845551f21484e7ed4b2652ad046031e72,53686534697418047511632148,Slope Finance,SLOPE,18,284,167783,123817970769,126920,22621208,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11036411
14026923,1642473763,0xd20ebaf25018f6dfe24be3726ff9d0531ae416ee5a4a2f0edf5265d17d95617a,86,0x6a9a49481def4cb62c0af09afbb869658c1a9d2f5f5210ff48f4fc490842492c,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x0d747819834ddb27e03cc2acf174096e2255cffe,0xaacf3c7845551f21484e7ed4b2652ad046031e72,207604216327329147617627,Slope Finance,SLOPE,18,124,190014,119900000000,132695,8727022,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",11034773
14027645,1642483649,0x44a4ea8fd0f17045afe0804cae7eb9faa965fdb2dc70c5c8905a769cebeb0764,35,0xcf7c8eb140ebb3293ecf2fb1ac57449414236c84bef7447e391b508bb93fd70b,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x23dfed05485be8a3f39f6de0e5ac460888abcce8,0xaacf3c7845551f21484e7ed4b2652ad046031e72,44970306116825283487816506,Slope Finance,SLOPE,18,43,167769,132257277563,126908,3564309,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11034051
14027736,1642484812,0xa696169d74a819ae9a80ee9eb5867136fabc99f283d5b93f2c55dea282279ab9,434,0x10943289dcd3159e8527ee717bf2bbd3b1d7fb54e434469775e29894f7efb0ca,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xcb48238d0f658964b82c9cf1a21a1e84b584ca49,0xaacf3c7845551f21484e7ed4b2652ad046031e72,139865697223720352831157,Slope Finance,SLOPE,18,62,208114,104781919771,128470,4021940,deprecated,0xd9627aa4,"sellToUniswap(address[] tokens, uint256 sellAmount, uint256 minBuyAmount, bool isSushi)",11033960
14027906,1642487150,0xbc7a3fcdc7184d2b3e16af224a994d913897d1cc6f54334073d42afadf5a0fff,435,0xdb4b89262cace08823be253204185a207683c600e4afb24aebd94c71d4ca2604,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xcb48238d0f658964b82c9cf1a21a1e84b584ca49,0xaacf3c7845551f21484e7ed4b2652ad046031e72,928479566241821308063619,Slope Finance,SLOPE,18,87,181660,91575440866,111382,5834010,deprecated,0xd9627aa4,"sellToUniswap(address[] tokens, uint256 sellAmount, uint256 minBuyAmount, bool isSushi)",11033790
14028071,1642489649,0xcdf1c6819fdbef13751d1bc2f08a06af07c3b0ba8bdf4ae4daee849fbc49bfcc,82,0xf2a750a108e963919bd694c46089667be8617433558d2a42f8b816fbfce4c099,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x37132d5889d8655c8c19f7b8359d83a9844c0878,0xaacf3c7845551f21484e7ed4b2652ad046031e72,6750989176935778147785983,Slope Finance,SLOPE,18,39,167783,94000000000,126920,2528642,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11033625
14028967,1642501693,0x9fbdc2b1bfa9305148921bbc8bf725785a657b83865138d2bc1857e3856d2e77,46,0x2de4cf1fcb6eda376a4709abd51e65aa2783c4ec4fc4e0e85861c2cdd5a63000,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xb7ebd5145b4c5400dde5f87ee13811a08a3a4de0,0xaacf3c7845551f21484e7ed4b2652ad046031e72,524362720119553962919516,Slope Finance,SLOPE,18,61,208132,73462326302,128482,6119010,deprecated,0xd9627aa4,"sellToUniswap(address[] tokens, uint256 sellAmount, uint256 minBuyAmount, bool isSushi)",11032729
14029239,1642505473,0xd8d6d39f1f5c73afd99f068dfcbf6f5a48a9496d686b2f5ed345c8d362cfebf8,51,0x575977bbc383eb15159bddd0849b5444eb6701e4c92505ce7e58dc5617f4c09a,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xb7ebd5145b4c5400dde5f87ee13811a08a3a4de0,0xaacf3c7845551f21484e7ed4b2652ad046031e72,261335208726787472445604,Slope Finance,SLOPE,18,110,181642,75774121158,111370,9073452,deprecated,0xd9627aa4,"sellToUniswap(address[] tokens, uint256 sellAmount, uint256 minBuyAmount, bool isSushi)",11032457
14029367,1642507289,0x98311d212b50da81c0c150373ca3dcfa944ca245d56d8a2394d855a928ae7a7a,40,0xdf67defb37176f8d05c7c99593b9a7525d5f860eda9f86cf91d72a9cc47d6481,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x2623e228ca85a58b931171e71e694a0dcdf0a1c0,0xaacf3c7845551f21484e7ed4b2652ad046031e72,3431593837186543610184074,Slope Finance,SLOPE,18,231,167783,92837859659,126920,18359691,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11032329
14029519,1642509184,0x34dd94790a4a5e17bfbe6ff55bebdbd6c59cd1666c33ebe4acf593cd86617b10,66,0xfe1e5233a783b62dac36072ad67a4c4864ecd31e2088a6d74de6a60226387109,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xe488e8d023f994156c6721f0708351740c0f0eb8,0xaacf3c7845551f21484e7ed4b2652ad046031e72,26648859362146845655716256,Slope Finance,SLOPE,18,279,167783,79000000000,126920,11600440,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11032177
14029784,1642512812,0x5d67db35734f83739581d178a0e9a131c892af6c22f62bba9dd25b70ccd4955a,26,0xe524c351a993333e9530c809d169317a7fef42747977c4e4cfdc8912f588fa6b,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x6ab5a238a7149983afc4116f26ef1ab9ec46347e,0xaacf3c7845551f21484e7ed4b2652ad046031e72,266842945133504531634615,Slope Finance,SLOPE,18,21,208132,94307877893,128482,1483726,deprecated,0xd9627aa4,"sellToUniswap(address[] tokens, uint256 sellAmount, uint256 minBuyAmount, bool isSushi)",11031912
14029994,1642515386,0x636c954fc7e201865d7e0f9af36c24bd13d82f0660c9091ac5917f9b00dafb3b,67,0x84d7bacbb4acd4bcb72db5149d1af7a0a78ee06619458f4278862e2c3e9a00b6,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xa2bb56e70c3042bb407dae816b2afa05828d28ff,0xaacf3c7845551f21484e7ed4b2652ad046031e72,15447609779313941807553926,Slope Finance,SLOPE,18,10,167783,83329724604,126920,1125924,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11031702
14030520,1642522350,0xde55257ca0a8f78c1bd2b045ed93e4d8d7c08cafc5c71253fcc9e9e9e43ff859,239,0x4ac8c461395bd3f3391521332c63c07cd8ba097c45c64e4bd776832b0710f97c,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x3a83cda9dcb53bc4a06b0a5f6b47d6c8736b416f,0xaacf3c7845551f21484e7ed4b2652ad046031e72,114518531110906274634791,Slope Finance,SLOPE,18,50,190014,118800000000,132695,2951890,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",11031176
14035322,1642586723,0x2d7b32e46e2176bbba3364028a42ce682da4f396f90ec79c3a6f271541f02791,16,0xe0c74536aa29e80ddac8f393bc19dae6e67c0e18e29e7b90fce681c58cebb94c,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xaacf3c7845551f21484e7ed4b2652ad046031e72,197241965318524132963505965,Slope Finance,SLOPE,18,200,348337,74640498050,230575,10797269,deprecated,0xded9382a,"removeLiquidityETHWithPermit(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline, bool approveMax, uint8 v, bytes32 r, bytes32 s)",11026374
14035322,1642586723,0x2d7b32e46e2176bbba3364028a42ce682da4f396f90ec79c3a6f271541f02791,16,0xe0c74536aa29e80ddac8f393bc19dae6e67c0e18e29e7b90fce681c58cebb94c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7f13440f93d2b49e0e06fe04fa7ed7cf55c4c1ae,0xaacf3c7845551f21484e7ed4b2652ad046031e72,197241965318524132963505965,Slope Finance,SLOPE,18,200,348337,74640498050,230575,10797269,deprecated,0xded9382a,"removeLiquidityETHWithPermit(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline, bool approveMax, uint8 v, bytes32 r, bytes32 s)",11026374
