max_centrality,avg_clustering,unique_wallets,value_volatility,tx_count,label
0.8437047756874095,0.006176328913068117,692,1.630314640658033e+26,1000,0
0.6841491841491841,0.018136131441982884,859,4.467403732088794e+25,1000,0
0.782258064516129,0.04345649344141983,497,5.59055973539551e+23,1000,0
0.6744186046511628,0.18253813935751426,388,15666022.253010988,1000,0
0.40404040404040403,0.039486848137935744,496,20314256520235.266,1000,0
0.5307971014492754,0.021551703904973254,553,2.8469141370741294e+24,1000,0
0.7813765182186234,0.013223932219104133,742,5.09728635727591e+25,1000,0
0.8996865203761757,0.003610966481583323,958,6.450684118517217e+24,1000,0
0.6434977578475336,0.02644909417726466,447,3.360231324925977e+23,1000,0
1.007172131147541,0.0,977,2.8121209002308397e+25,1000,0
0.7185314685314685,0.05462511981739279,573,3.7854702459745133e+24,1000,0
0.8383733055265902,0.01684168509119725,960,2.3467853799439261e+24,1000,0
0.7449664429530202,0.10358647737958082,150,4.3873641001473585e+25,1000,0
0.3914421553090333,0.0115402784243086,632,4.516154806282669e+24,1000,0
0.6030267753201397,0.010276354085134514,860,4.623194027205834e+25,1000,0
0.908256880733945,0.062174909618243554,764,4.751630898578475e+25,1000,0
1.2244897959183674,0.0027155649042387127,491,6.269920538520465e+19,1000,0
0.9198606271777003,0.22849245997893686,288,1.7023296845434205e+21,1000,0
0.5364806866952789,0.03347179168855348,467,2.874705749629164e+27,1000,0
1.2008196721311477,0.010929122955525948,489,5.949907714416966e+25,1000,0
0.8737201365187712,0.008610190475885087,880,3.430485806137956e+26,1000,0
1.0,0.0,501,9.008488322846837e+22,1000,0
1.0861618798955615,0.0,384,4.3966052936622454e+23,1000,0
0.4226415094339623,0.12735841058489306,266,35963847359.38101,1000,0
1.1569767441860466,0.015473957124378088,517,9.05858411129465e+21,1000,0
0.48246844319775595,0.028156818744366967,714,3.502142878119207e+25,1000,0
0.9463157894736842,0.0037075187859130472,951,2.5315159202213715e+26,1000,0
0.8623655913978494,0.0014321518080916578,931,4.510270584358547e+24,1000,0
0.9989189189189189,0.0,926,165028774063.62207,1000,0
0.9999999999999999,0.0,999,1.6780343513011614e+25,1000,0
0.5255681818181819,0.056383851640751895,353,3.436518884170195e+26,1000,0
1.0260869565217392,0.08312488373842482,116,2579170600302057.5,1000,0
0.6188811188811189,0.021632879773734612,287,4.258545105429076e+23,1000,0
0.9661016949152542,0.0075927817500851215,178,1.6432664312356448e+22,1000,0
0.736111111111111,0.16413392056981974,217,1.440698071473971e+22,1000,0
1.1827956989247312,0.5473797808512254,94,3.173489384602463e+24,1000,0
0.8970588235294118,0.11158307119631493,545,7.515814055951277e+23,1000,0
0.14761904761904762,0.01976406075010136,631,3.9929036986779494e+26,1000,0
1.002176278563656,0.0,920,2.3448079381925824e+16,1000,0
0.5885167464114832,0.027361274675500615,419,1.6799964942822681e+24,1000,0
0.3916292974588939,0.04255485412288762,670,5.097862189110247e+24,1000,0
0.880841121495327,0.06120261857353163,429,4.469896252330877e+19,1000,0
0.7643378519290929,0.0034722299877987263,960,5.626643991918035e+25,1000,0
0.5146726862302483,0.026410860316991445,444,3.298225771024154e+23,1000,0
0.7310061601642711,0.03285469049591032,488,3.5345024348648915e+25,1000,0
0.5560538116591929,0.08222074359777289,670,4.6041999078247215e+24,1000,0
0.7436332767402377,0.07095207152480185,590,3.8853102666447113e+21,1000,0
0.988855116514691,0.0016869138361472603,988,3162208276998439.5,1000,0
0.843298969072165,0.016461028654672753,486,1.5859094066726456e+25,1000,0
0.5552282768777614,0.04562303122964594,680,4.520582511060571e+25,1000,0
0.43524416135881105,0.07431078394441247,472,7.3856224135224615e+25,1000,0
0.8113804004214963,0.008860508663158103,950,1.816155704552439e+24,1000,0
0.40718562874251496,0.024167837636074226,502,414735282525.2662,1000,0
0.7329974811083123,0.04380389685321092,795,3.405624932616101e+25,1000,0
1.1441441441441442,0.08534710239825095,223,4.614596101692827e+25,1000,0
0.9999999999999999,0.0,948,2.0240104796927407e+26,1000,0
0.9999999999999999,0.0,997,2.332143156827521e+21,1000,0
0.21309192200557103,0.002724034544969979,719,1.1346741946758639e+26,1000,0
0.5066666666666667,0.12989868532917284,151,4.9784646048933324e+23,1000,0
1.2956521739130435,0.20079997363812585,231,40401619034.40264,1000,0
0.4893267651888341,0.021104974692007058,610,4.493577196080701e+25,1000,0
0.868,0.049036140971353864,501,1.9107069903803914e+24,1000,0
0.45759368836291914,0.05303300889431389,508,3.674854851578543e+25,1000,0
0.2478632478632479,0.13839370310828536,235,216273681655.67853,1000,0
0.8293029871977241,0.012950162914350095,704,7.209159696613847e+25,1000,0
0.99,0.0,1001,1.952285549226317e+25,1000,0
0.7868504772004242,0.007517976373908577,944,1.0980487811559244e+26,1000,0
1.0,0.0013717443015960518,972,2.0419885552573933e+25,1000,0
0.65625,0.004223691629504331,929,3.7685241022477767e+26,1000,0
0.634032634032634,0.09579893975694602,430,3.755851021658465e+23,1000,0
1.1372093023255814,0.05321364082274271,431,1.9123741610966578e+28,1000,0
0.350597609561753,0.0751816187556273,252,3.6396690475523913e+25,1000,0
1.0127931769722813,0.03920418037439314,470,2.228427914336644e+25,1000,0
0.9207920792079208,0.6245383668794959,203,3.301589928709523e+23,1000,0
0.7404255319148936,0.006316027274728785,941,6.663023589263498e+24,1000,0
0.30376344086021506,0.1131157090197919,373,1.3372232652730804e+25,1000,0
0.35361216730038025,0.06376552324366917,527,48266240488839.35,1000,0
0.6550868486352357,0.05710628980098232,404,2.0537070991779937e+24,1000,0
1.0629274965800273,0.00910748971270176,732,1.8713759167567255e+25,1000,0
1.5177304964539007,0.033805363161107126,424,3.830093817001357e+24,1000,0
0.5924242424242424,0.01185085026780358,661,1.5969325431121136e+26,1000,0
1.0,0.007820238624087424,341,3.510089044402571e+19,1000,0
0.5330073349633252,0.020149092887043744,819,3.393138020615087e+25,1000,0
0.6350540216086434,0.006021955792905558,834,4.759530312184694e+23,1000,0
0.658974358974359,0.02333921957572101,391,3.172924861161626e+24,1000,0
1.0104849279161205,0.010969851800256707,764,4.474966632670601e+26,1000,0
0.8860759493670886,0.3948736566455457,475,1.7069720690457481e+22,1000,0
0.896774193548387,0.0,311,2.2818314648977214e+24,1000,0
0.881808838643371,0.0017111567419575632,974,3.5365969850758203e+25,1000,0
0.5040322580645161,0.05199182061991306,249,3.96047264601005e+26,1000,0
0.4218009478672986,0.03657438759783738,845,3.383010998301029e+26,1000,0
0.5935334872979214,0.07876720038144841,434,3.649686599705984e+24,1000,0
0.9885844748858447,0.01063029326337706,439,1939418473849458.5,1000,0
1.4048257372654156,0.019353439994990073,374,5233638720639774.0,1000,0
0.5630630630630631,0.12584548550120658,223,1.8424423114629706e+27,1000,0
1.1787610619469027,0.007067160547286959,566,3.9072859087640437e+31,1000,0
